Gene name,Tropical clawed frog gene name,Tropical clawed frog homology type
ifit12,XB959836 [provisional:ifit5],ortholog_many2many
ifit12,ifit1b,ortholog_many2many
epob,epo,ortholog_one2many
serpinh1a,,ortholog_one2many
elf3,elf3,ortholog_one2one
fam117ba,fam117b,ortholog_one2many
rsph14,rsph14,ortholog_one2one
tal1,tal1,ortholog_one2one
cdk19,cdk19,ortholog_one2one
dolk,dolk,ortholog_one2one
ramp2,,ortholog_one2one
masp2,masp2,ortholog_one2one
pdpk1b,pdpk1,ortholog_one2many
tekt3,tvp23b,ortholog_one2one
kcnh5b,kcnh5,ortholog_one2many
exo1,XB5992703 [provisional],ortholog_one2one
ank1b,ank1,ortholog_one2many
ivd,ivd,ortholog_one2one
ak5,ak5,ortholog_one2one
cmss1,cmss1,ortholog_one2one
myt1la,myt1l,ortholog_one2one
nrarpa,nrarp,ortholog_one2many
sema3ab,sema3a,ortholog_one2one
chtopa,chtop,ortholog_one2many
TMEM120A,tmem120a,ortholog_one2many
vps39,vps39,ortholog_one2one
atf7b,atf7,ortholog_one2many
cdk1,cdk1,ortholog_one2one
gphb5,gphb5,ortholog_one2one
arf6b,arf6.2,ortholog_one2many
ddx23,ddx23,ortholog_one2one
atp5mc3b,atp5mc1,ortholog_one2one
COLEC10,colec10,ortholog_one2one
zdhhc16b,zdhhc16,ortholog_one2many
crfb2,ifnlr1,ortholog_one2one
trappc4,trappc4,ortholog_one2one
ypel1,ypel1,ortholog_one2one
tango2,tango2,ortholog_one2one
nlk1,nlk.2,ortholog_one2one
crfb15,il22ra1,ortholog_many2many
crfb15,ifnar2.1,ortholog_many2many
crfb15,il10ra,ortholog_many2many
sh3bgrl,sh3bgrl,ortholog_one2one
chchd4a,chchd4,ortholog_one2many
erh,erh,ortholog_one2one
egln3,egln3,ortholog_one2one
prrg1,prrg1,ortholog_one2one
ddx24,ddx24,ortholog_one2one
b3gnt2b,b3gnt2,ortholog_one2many
phf13,phf13,ortholog_one2one
slc2a3a,slc2a3,ortholog_one2one
lrrc23,lrrc23,ortholog_one2one
tbx5b,tbx5,ortholog_one2many
si:dkey-79d12.5,,ortholog_one2many
si:dkey-79d12.5,btg5.2,ortholog_one2many
rpp40,rpp40,ortholog_one2one
tmtc4,tmtc4,ortholog_one2one
nedd4l,nedd4l,ortholog_one2one
xcr1a.1,rhagl,ortholog_one2many
lmod2b,lmod2,ortholog_one2many
dnajb9b,dnajb9,ortholog_one2many
rnf7,rnf7,ortholog_one2one
znf1060,,ortholog_many2many
prg4a,prg4,ortholog_one2many
clgn,clgn,ortholog_one2one
zgc:153116,,ortholog_many2many
zgc:153116,znf184,ortholog_many2many
brf1b,brf1,ortholog_one2one
gpr155b,gpr155,ortholog_one2many
GPR141,gpr141,ortholog_one2one
zbtb10,zbtb10,ortholog_one2one
dohh,dohh,ortholog_one2one
dph6,dph6,ortholog_one2one
trim35-19,MGC147490,ortholog_many2many
trim35-19,xnf7,ortholog_many2many
ostf1,ostf1,ortholog_one2one
stard10,stard10,ortholog_one2one
snrpg,snrpg,ortholog_one2one
march8,marchf8,ortholog_one2one
qsox1,qsox1,ortholog_one2one
ubn1,ubn1,ortholog_one2one
tmtops3a,tmtops,ortholog_one2many
slc27a4,slc27a4,ortholog_one2one
srsf2a,srsf2,ortholog_one2many
tpx2,tpx2,ortholog_one2one
dagla,dagla,ortholog_one2one
oser1,oser1,ortholog_one2one
lratd1,lratd1,ortholog_one2one
nae1,nae1,ortholog_one2one
march4l,pecr,ortholog_one2many
p2rx8,p2rx5,ortholog_one2many
fam131ba,fam131b,ortholog_one2many
si:ch73-376l24.6,ttf1,ortholog_one2many
chrm1a,chrm1,ortholog_one2one
capza1b,capza1,ortholog_one2many
itga10,itga10,ortholog_one2one
illr4,,ortholog_many2many
MACIR,macir,ortholog_one2one
kcnj10a,kcnj10,ortholog_one2many
si:ch211-71m22.3,,ortholog_one2many
HTRA2,htra2,ortholog_one2many
elmo1,elmo1,ortholog_one2many
pmpcb,pmpcb,ortholog_one2one
mcf2lb,mcf2l,ortholog_one2many
scdb,scd,ortholog_one2many
txnl4b,txnl4b,ortholog_one2one
nos1,nos1,ortholog_one2one
si:dkey-85n7.6,PRIMA1,ortholog_one2one
nup62l,nup62,ortholog_one2one
sephs2,sephs3,ortholog_one2one
lrrk1,lrrk1,ortholog_one2one
coa6,coa6,ortholog_one2one
dnali1,dnali1,ortholog_one2one
nek12,,ortholog_one2one
med16,med16,ortholog_one2one
nectin3b,nectin3,ortholog_one2many
gpc4,gpc4,ortholog_one2one
tbcb,tbcb,ortholog_one2one
nkap,nkap,ortholog_one2one
kiss1ra,kissr2,ortholog_one2one
dao.2,dao,ortholog_one2many
arid3b,arid3b,ortholog_one2one
rab35b,rab35,ortholog_one2one
cdc42bpab,cdc42bpa,ortholog_one2many
rbm4.1,rbm4b,ortholog_one2many
spegb,speg,ortholog_one2many
zbtb11,zbtb11,ortholog_one2one
rif1,nr5a1,ortholog_one2one
gys1,gys1,ortholog_one2one
spout1,spout1,ortholog_one2one
tln1,tln1,ortholog_one2one
pfkfb1,pfkfb1,ortholog_one2many
pbx1a,pbx1,ortholog_one2many
ap2b1,ap2b1,ortholog_one2one
foxh1,foxh1,ortholog_one2many
foxh1,,ortholog_one2many
IGLON5,iglon5,ortholog_one2one
snx11,snx11,ortholog_one2one
cpt1cb,cpt1al,ortholog_one2many
rnf41,rnf41,ortholog_one2one
ccdc33,ccdc33,ortholog_one2one
adipoqa,adipoq,ortholog_one2many
depdc5,depdc5,ortholog_one2one
zgc:173737,,ortholog_many2many
zgc:173737,fut6.2,ortholog_many2many
zgc:173737,fut3,ortholog_many2many
zgc:173737,fut5,ortholog_many2many
zgc:173737,fut6,ortholog_many2many
mrpl1,mrpl1,ortholog_one2one
tjp1a,tjp1,ortholog_one2many
slc23a2,rassf2,ortholog_one2one
golga7,golga7,ortholog_one2one
zp3a.1,zp3,ortholog_many2many
zp3a.1,XB5888885 [provisional:zp3],ortholog_many2many
si:dkeyp-59c12.1,rergl,ortholog_one2one
ntn1b,NTN1,ortholog_one2many
suclg2,suclg2,ortholog_one2one
psmb9a,psmb9,ortholog_one2one
fndc4a,fndc4,ortholog_one2one
dctpp1,dctpp1,ortholog_one2one
blzf1,blzf1,ortholog_one2one
kcnj12a,kcnj12,ortholog_one2many
si:dkey-29b11.3,,ortholog_one2one
hs6st2,hs6st2,ortholog_one2one
znf622,znf622,ortholog_one2one
kbtbd8,kbtbd8,ortholog_one2one
cysltr1,cysltr1,ortholog_one2one
pef1,pef1,ortholog_one2one
adra2db,,ortholog_one2many
upp2,upp2,ortholog_one2one
si:dkey-201l21.4,,ortholog_many2many
atp6ap2,atp6ap2,ortholog_one2one
si:dkey-185p13.1,vps4b,ortholog_one2many
atg2b,atg2b,ortholog_one2one
fam126a,fam126a,ortholog_one2one
noto,not,ortholog_one2one
mgp,mgp,ortholog_one2one
slc1a1,slc1a1,ortholog_one2one
prf1.7,,ortholog_many2many
prf1.7,prf1,ortholog_many2many
zgc:92907,alg13l,ortholog_one2one
epb41l5,epb41l5,ortholog_one2one
camsap2a,camsap2,ortholog_one2many
atg4b,atg4b,ortholog_one2one
si:dkey-258f14.3,glp2r,ortholog_many2many
hoxb4a,hoxb4,ortholog_one2one
zgc:109965,,ortholog_one2one
agt,agt,ortholog_one2one
plpp7a,plpp7,ortholog_one2many
mea1,mea1,ortholog_one2one
hoxb8a,hoxb8,ortholog_one2many
bscl2l,bscl2,ortholog_one2many
si:ch211-81a5.1,rnf115,ortholog_one2many
vav3b,ntng1,ortholog_one2many
ttc29,ttc29,ortholog_one2one
ldhd,ldhd,ortholog_one2one
cyp27a1.4,cyp27a1.3,ortholog_many2many
cyp27a1.4,XB1001094 [provisional:cyp27a1],ortholog_many2many
cyp27a1.4,XB984297 [provisional:cyp27a1],ortholog_many2many
acat2,acat2,ortholog_one2one
col4a2,col4a2,ortholog_one2one
itih1,itih3,ortholog_many2many
itih1,,ortholog_many2many
mybphb,mybph,ortholog_one2many
anks1b,anks1b,ortholog_one2one
smg7,smg7,ortholog_one2one
txndc12,txndc12,ortholog_one2one
tbxta,tbx21,ortholog_many2many
zgc:92275,XB5992703 [provisional],ortholog_one2one
tjap1,tjap1,ortholog_one2one
oprk1,oprk1,ortholog_one2one
lepr,lepr,ortholog_one2one
cdc42bpaa,cdc42bpa,ortholog_one2many
cert1b,cert1,ortholog_one2many
sh3bgr,sh3bgr,ortholog_one2one
nars2,klhdc1,ortholog_one2one
cycsb,cyct,ortholog_one2many
cycsb,cycs,ortholog_one2many
rpl23a,rpl23a,ortholog_one2one
dhx33,dhx33,ortholog_one2one
map3k5,map3k5,ortholog_one2one
insrb,insr,ortholog_one2many
p2rx4a,p2rx4,ortholog_one2many
f2rl1.1,f2rl1,ortholog_one2many
zic3,zic3,ortholog_one2one
ess2,ess2,ortholog_one2one
rgs9b,,ortholog_many2many
pigl,pigl,ortholog_one2one
rdh1,XB5957220 [provisional],ortholog_one2one
tulp1b,tulp1,ortholog_one2many
nudcd2,nudcd2,ortholog_one2one
fgl2a,FGL2,ortholog_one2many
kazald3,kazald1,ortholog_one2one
trappc10,trappc10,ortholog_one2one
ypel5,ypel5,ortholog_one2one
ilrun,ilrun,ortholog_one2one
si:ch211-241b2.5,pdcd1lg2,ortholog_one2many
si:ch211-241b2.5,,ortholog_one2many
efr3ba,efr3b,ortholog_one2many
prlh2,prlh,ortholog_one2one
hmg20b,hmg20b,ortholog_one2one
chfr,chfr,ortholog_one2one
matn1,matn1,ortholog_one2one
enc3,enc1.2,ortholog_one2one
ccdc186,ccdc186,ortholog_one2one
rdh5,rdh5,ortholog_one2one
pomca,pomc,ortholog_one2many
cep85,cgn,ortholog_one2one
phyhipla,phyhipl,ortholog_one2many
ptgesl,ptges2,ortholog_one2one
slc35d2,slc35d2,ortholog_one2one
tsr3,tsr3,ortholog_one2one
syt1b,syt1,ortholog_one2many
vcla,vcl,ortholog_one2many
odr4,odr4,ortholog_one2one
gabrr2a,GABRR2,ortholog_one2many
prlh2r,XB994602 [provisional:prlhr],ortholog_one2one
CAMK2N1,CAMK2N1,ortholog_one2one
apip,apip,ortholog_one2one
arhgef1a,arhgef2,ortholog_one2many
prlra,prlr,ortholog_one2many
FBXO46,fbxo46,ortholog_one2one
spg21,spg21,ortholog_one2one
cog6,cog6,ortholog_one2one
tspan2b,,ortholog_many2many
tspan2b,tspan2,ortholog_many2many
ddx42,ddx42,ortholog_one2one
mtif3,mtif3,ortholog_one2one
ankhb,ankh,ortholog_one2many
abcd1,abcd1,ortholog_one2one
ndnfl,,ortholog_one2one
si:ch73-379f5.5,,ortholog_many2many
si:ch73-379f5.5,XB5799088 [provisional:art5],ortholog_many2many
si:ch73-379f5.5,art5,ortholog_many2many
si:ch73-379f5.5,XB5918646 [provisional],ortholog_many2many
si:ch73-379f5.5,art1,ortholog_many2many
znf740b,znf740,ortholog_one2one
sycp3,sycp3,ortholog_one2one
sox14,sox14,ortholog_one2one
mvk,mvk,ortholog_one2one
cdh16,cdh16,ortholog_one2one
gapdh,gapdh,ortholog_one2one
tmem120a,tmem120a,ortholog_one2many
ap4b1,ap4b1,ortholog_one2one
cers2a,cers2,ortholog_one2many
npr1a,npr2,ortholog_one2many
shc1,med22,ortholog_one2one
tfcp2l1,TFCP2L1,ortholog_one2one
tmem30aa,tmem30a,ortholog_one2many
fbxo31,fbxo31,ortholog_one2one
rab11bb,rab11b.1,ortholog_one2one
tap1,,ortholog_one2many
tap1,tap1,ortholog_one2many
rfx6,rfx6,ortholog_one2one
tal2,TAL2,ortholog_one2one
nrd1a,nrdc,ortholog_one2many
or137-7,,ortholog_many2many
scrn2,scrn2,ortholog_one2one
max,max,ortholog_one2one
lamtor4,lamtor4,ortholog_one2one
clec3ba,clec3b,ortholog_one2many
usf1l,usf1,ortholog_one2many
atg5,atg5,ortholog_one2one
anpepa,lvrn,ortholog_many2many
neurl2,neurl2,ortholog_one2one
zgc:113119,,ortholog_many2many
b3gnt7,b3gnt7,ortholog_one2one
si:ch1073-385f13.3,trex2,ortholog_one2many
gtf2f2b,gtf2f2,ortholog_one2many
si:ch1073-429i10.3,,ortholog_one2one
micos13,micos13,ortholog_one2one
zgc:114120,srcin1,ortholog_one2many
si:ch211-163c2.1,parp14.3,ortholog_many2many
si:ch211-163c2.1,,ortholog_many2many
si:cabz01101003.1,,ortholog_one2one
s100t,s100a10,ortholog_many2many
scn3b,scn3b,ortholog_one2one
eny2,eny2,ortholog_one2one
tex2l,tex2.1,ortholog_one2one
serhl,serhl,ortholog_one2many
serhl,serhl2,ortholog_one2many
fosl1b,fosl1,ortholog_one2many
ela2,ctrc,ortholog_one2many
rab7b,rab7a,ortholog_one2many
arpin,arpin,ortholog_one2one
hvcn1,hvcn1,ortholog_one2one
plekhg7,plekhg7,ortholog_one2one
trmt10b,trmt10b,ortholog_one2one
lhx4,lhx4,ortholog_one2one
myo1ha,myo1h,ortholog_one2many
dph7,dph7,ortholog_one2one
nfil3,nfil3,ortholog_one2one
ttf1,ttf1,ortholog_one2many
zgc:171673,,ortholog_many2many
hnrnpua,hnrnpu,ortholog_one2many
meis2a,meis2,ortholog_one2one
tacc3,tacc3,ortholog_one2one
dusp12,dusp12,ortholog_one2one
nexmifa,nexmif,ortholog_one2many
fbxo38,fbxo38,ortholog_one2one
cish,cish,ortholog_one2many
mcf2a,mcf2,ortholog_one2many
nrbp1,nrbp1,ortholog_one2one
tgfbrap1,tgfbrap1,ortholog_one2one
vil1,vil1,ortholog_one2one
atp5fa1,atp5f1a,ortholog_one2one
itih6,itih6,ortholog_one2one
prepl,prepl,ortholog_one2one
ndrg3b,ndrg3,ortholog_one2many
c1qbp,c1qbp,ortholog_one2one
yeats2,yeats2,ortholog_one2many
wdyhv1,ntaq1,ortholog_one2one
PSMA2,psma2,ortholog_one2many
tfap2c,tfap2c,ortholog_one2one
tbx16l,,ortholog_one2one
vipb,vip,ortholog_one2many
pgam1b,pgam1,ortholog_one2many
dhps,dhps,ortholog_one2one
ift81,ift81,ortholog_one2one
fam43b,fam43b,ortholog_one2one
nitr8,,ortholog_one2many
phf23b,phf23,ortholog_one2many
slc22a18,SLC22A18,ortholog_one2one
cyp8b2,cyp8b1.2,ortholog_many2many
cyp8b2,cyp8b1.1,ortholog_many2many
C1H4orf33,,ortholog_one2one
cfap57,cfap57,ortholog_one2one
has2,has2,ortholog_one2one
kdm5ba,kdm5b,ortholog_one2many
plxnc1,,ortholog_one2one
si:ch211-113a14.24,,ortholog_many2many
ccdc22,ccdc22,ortholog_one2one
dok4,dok4,ortholog_one2one
sele,selp,ortholog_one2one
npy8ar,npy4r,ortholog_one2many
fndc1,fndc1,ortholog_one2one
il10,il10,ortholog_one2one
hoxa2b,hoxa2,ortholog_one2one
mblac2,cetn3,ortholog_one2one
si:dkey-182i3.8,,ortholog_many2many
si:dkey-182i3.8,znf184,ortholog_many2many
lhx2b,lhx2,ortholog_one2one
si:dkey-71h2.2,,ortholog_one2one
sik2a,sik2,ortholog_one2many
ddx39ab,ddx39a,ortholog_one2many
bag2,bag2,ortholog_one2one
pxk,pxk,ortholog_one2one
m6pr,m6pr,ortholog_one2one
vwa7,vwa7,ortholog_one2one
tmbim1a,tmbim1,ortholog_one2many
arfgap3,arfgap3,ortholog_one2one
sirt4,sirt4,ortholog_one2one
calhm2.1,calhm2,ortholog_one2many
MAJIN,majin,ortholog_one2one
si:ch211-113a14.18,,ortholog_many2many
sytl1,sytl1,ortholog_one2one
kpna4,kpna4,ortholog_one2one
wdr18,wdr18,ortholog_one2one
qki2,qki,ortholog_one2many
yipf1,yipf1,ortholog_one2one
selenoo2,selenoo,ortholog_one2many
grm6a,grm8l,ortholog_one2many
itprip,itprip,ortholog_one2many
hal,hal.2,ortholog_one2one
gna13a,gna13,ortholog_one2many
si:ch73-206p6.1,plscr5,ortholog_many2many
si:ch73-206p6.1,plscr4,ortholog_many2many
sos1,sos1,ortholog_one2one
copa,copa,ortholog_one2one
dlgap1a,dlgap1,ortholog_one2many
arhgef16,arhgef16,ortholog_one2one
slc1a7b,slc1a7,ortholog_one2many
fam199x,fam199x,ortholog_one2one
mustn1a,mustn1,ortholog_one2many
arid1ab,,ortholog_many2many
arid1ab,arid1a,ortholog_many2many
fstb,fst,ortholog_one2many
si:ch73-106l15.2,MGC147490,ortholog_many2many
si:ch73-106l15.2,xnf7,ortholog_many2many
lrrc47,lrrc47,ortholog_one2one
bicral,bicral,ortholog_one2one
lsm6,lsm6,ortholog_one2one
nefma,nefm,ortholog_one2one
smpd5,smpd5l,ortholog_one2one
sbf1,sbf1,ortholog_one2one
smim8,smim8,ortholog_one2one
slc35f4,slc35f4,ortholog_one2one
slc7a4,slc7a4,ortholog_one2one
rnls,rnls,ortholog_one2one
vps13d,vps13d,ortholog_one2one
zmiz2,zmiz2,ortholog_one2one
gins2,gins2,ortholog_one2one
mss51,mss51,ortholog_one2one
atoh1a,atoh1,ortholog_one2one
smad3b,smad3,ortholog_one2many
arf3a,arf3,ortholog_one2many
tekt4,tekt4,ortholog_one2one
cxcr3.2,cxcr3,ortholog_one2one
capns1a,capns2,ortholog_one2many
slc41a1,slc41a1,ortholog_one2one
capga,capg,ortholog_one2many
si:dkeyp-27c8.1,dusp29,ortholog_many2many
si:dkeyp-27c8.1,styxl2,ortholog_many2many
fitm2,fitm2,ortholog_one2one
pno1,pno1,ortholog_one2one
znf395b,znf395,ortholog_one2many
smc2,smc2,ortholog_one2one
cdh10a,cdh10,ortholog_one2many
prrt2,,ortholog_one2one
gorasp1a,gorasp1,ortholog_one2one
gpr25,,ortholog_one2one
snapc1b,snapc1,ortholog_one2many
picalma,picalm,ortholog_one2many
slc6a15,slc6a15,ortholog_one2one
itga11b,itga11,ortholog_one2many
ferd3l,ferd3l,ortholog_one2one
zgc:56699,gtsf2,ortholog_one2many
ggh,ggh,ortholog_one2one
rbm24b,rbm24,ortholog_one2many
proser1,proser1,ortholog_one2one
pik3r2,pik3r2,ortholog_one2one
ndufa3,ndufa3,ortholog_one2one
BX005417.2,,ortholog_many2many
BX005417.2,MGC146893,ortholog_many2many
BX005417.2,znf84,ortholog_many2many
ctsd,ctsd,ortholog_one2many
ctsd,,ortholog_one2many
qdprb2,qdpr,ortholog_one2many
prc1b,prc1,ortholog_one2many
bmi1a,bmi1,ortholog_one2many
angpt2b,,ortholog_one2one
top3b,egfl7,ortholog_one2one
cdc14b,cdc14b,ortholog_one2one
cdc42ep2,cdc42ep2,ortholog_one2one
tapbpl,TAPBPL,ortholog_one2one
rps3a,rps3a,ortholog_one2one
ssx2ipb,ssx2ip,ortholog_one2many
MFSD3,mfsd3,ortholog_one2one
birc5a,birc5l,ortholog_one2one
arpc4,arpc4,ortholog_one2many
kif11,kif11,ortholog_one2one
sort1b,sort1,ortholog_one2many
eva1ba,eva1b,ortholog_one2one
traf2a,traf2,ortholog_one2many
nfe2l2a,nfe2l2,ortholog_one2one
fbrsl1,fbrsl1,ortholog_one2one
eif3hb,eif3h,ortholog_one2many
soul5l,XB5894820 [provisional],ortholog_many2many
soul5l,,ortholog_many2many
soul5l,hebp2,ortholog_many2many
si:ch73-111e15.1,,ortholog_many2many
mcamb,mcam,ortholog_one2many
ptdss1a,ptdss1,ortholog_one2many
si:dkey-283b15.2,,ortholog_one2many
ppfibp2b,ppfibp2,ortholog_one2many
si:dkey-28e7.3,hap1,ortholog_one2one
cbl,cbl,ortholog_one2one
mms19,mms19,ortholog_one2one
cacna1db,cfap74,ortholog_one2one
slitrk4,slitrk4,ortholog_one2one
fam50a,fam50a,ortholog_one2one
ahrrb,ahrr,ortholog_one2one
oxsr1a,gal3st4.3,ortholog_one2many
tbrg4,tbrg4,ortholog_one2one
mxi1,mxi1,ortholog_one2one
igf2r,igf2r,ortholog_one2one
kdm4ab,kdm4c,ortholog_one2many
nop10,nop10,ortholog_one2one
CRACD,cracd,ortholog_one2one
cnga1a,cnga1,ortholog_one2many
rpl6,rpl6,ortholog_one2one
si:ch211-169p10.1,CCDC120,ortholog_one2many
pxdc1a,pxdc1,ortholog_one2many
abcc2,abcc6,ortholog_one2many
hnrnpr,hnrnpr,ortholog_one2one
dpyda.1,dhodh,ortholog_one2many
uqcrc2b,rbpj,ortholog_one2one
otx5,crx,ortholog_one2one
nkain1,nkain1,ortholog_one2one
rnf114,rnf114,ortholog_one2one
ccdc127b,ccdc127,ortholog_one2many
tbx4,tbx4,ortholog_one2one
rrn3,rrn3,ortholog_one2one
illr2,,ortholog_many2many
zranb1b,zranb1,ortholog_one2many
ptges,ptges,ortholog_one2one
rad18,rad18,ortholog_one2one
kcna4,kcna4,ortholog_one2one
znf644a,znf644,ortholog_one2many
si:ch211-175l6.1,MGC147490,ortholog_many2many
si:ch211-175l6.1,xnf7,ortholog_many2many
si:ch211-133n4.11,,ortholog_many2many
vcana,vcan,ortholog_one2many
il23r,,ortholog_one2one
hey1,hey1,ortholog_one2one
plk3,plk3,ortholog_one2one
vgll4a,tamm41,ortholog_one2many
prpf40a,prpf40a,ortholog_one2one
zgc:114173,vps37b,ortholog_one2many
cat,cat.3,ortholog_one2many
cat,cat.2,ortholog_one2many
cat,cat.1,ortholog_one2many
si:dkey-85k7.11,,ortholog_one2many
kctd7,kctd7,ortholog_one2one
csnk1a1,csnk1a1,ortholog_one2one
rnf151,rnf151,ortholog_one2one
syne1b,syne1,ortholog_one2many
ppp1r14c,ppp1r14c,ortholog_one2one
arpc5la,arpc5l,ortholog_one2many
nuak2,nuak2,ortholog_one2one
inppl1a,inppl1,ortholog_one2one
rfk,rfk,ortholog_one2one
si:dkey-237m9.1,,ortholog_many2many
mylk4b,mylk4,ortholog_one2many
adra1bb,adra1b,ortholog_one2many
slit1a,slit1,ortholog_one2many
gnpda2,gnpda2,ortholog_one2one
kif20bb,kif20b,ortholog_one2many
ecm1a,ECM1,ortholog_one2many
SLC15A5,SLC15A5,ortholog_one2one
mrpl41,mrpl41,ortholog_one2one
spire2,spire2,ortholog_one2one
tm4sf4,XB5965330 [provisional],ortholog_one2one
tbck,tbck,ortholog_one2one
ankib1b,ankib1,ortholog_one2one
kansl1b,kansl1,ortholog_one2many
gpt2l,gpt,ortholog_one2many
si:dkey-108k21.24,h3c14,ortholog_one2one
lmln,lmln,ortholog_one2one
vps28,vps28,ortholog_one2one
or104-2,,ortholog_many2many
or104-2,XB5900534 [provisional:or56a5],ortholog_many2many
myzap,myzap,ortholog_one2one
rfxank,rfxank,ortholog_one2one
galm,galm,ortholog_one2one
dpt,dpt,ortholog_one2one
si:dkey-13p1.4,tmem151b,ortholog_one2one
si:ch211-157j23.3,nxpe3l.2,ortholog_many2many
si:ch211-157j23.3,,ortholog_many2many
si:ch211-157j23.3,nxpe3l.6,ortholog_many2many
trmt10c,trmt10c,ortholog_one2one
gpbp1l1,gpbp1l1,ortholog_one2one
nsa2,nsa2,ortholog_one2one
rnf20,rnf20,ortholog_one2one
cyp8b3,cyp8b1.2,ortholog_many2many
cyp8b3,cyp8b1.1,ortholog_many2many
gas8,gas8,ortholog_one2one
fam166c,fam166c,ortholog_one2one
btbd10b,btbd10,ortholog_one2many
znf536,znf536,ortholog_one2one
dcst2,,ortholog_one2one
bop1,bop1,ortholog_one2one
polq,polq,ortholog_one2one
ano9b,,ortholog_many2many
atp13a2,atp13a2,ortholog_one2one
frzb,frzb,ortholog_one2one
si:ch211-161h7.4,cenpc,ortholog_one2one
cldn19,cldn19,ortholog_one2one
klc4,klc4,ortholog_one2one
fam222ba,fam222b,ortholog_one2many
mlxipl,mlxipl,ortholog_one2many
six3a,six3,ortholog_one2many
pold1,pold1,ortholog_one2one
b3glctb,b3glct,ortholog_one2many
ifngr1l,il22ra1,ortholog_many2many
ifngr1l,ifnar2.1,ortholog_many2many
ifngr1l,il10ra,ortholog_many2many
dgke,dgke,ortholog_one2one
crhr1,crhr1.2,ortholog_one2one
ttc9c,ttc9c,ortholog_one2one
bag6l,bag6,ortholog_one2many
rbm12,rbm12,ortholog_one2one
jam2b,vsir,ortholog_many2many
jam2b,MUC15,ortholog_many2many
jam2b,jam2,ortholog_many2many
srbd1,XB5903316 [provisional:slc66a1],ortholog_one2many
pphln1,pphln1,ortholog_one2one
fgf4,fgf4,ortholog_one2one
cep192,cep192,ortholog_one2one
exosc10,exosc10,ortholog_one2one
slc25a15b,slc25a15.2,ortholog_one2many
tesca,tesc,ortholog_one2many
atp10b,atp10b,ortholog_one2one
hells,hells,ortholog_one2one
sod2,sod2,ortholog_one2one
dgcr6,dgcr6,ortholog_one2one
spaw,nodal2,ortholog_one2many
zgc:161973,fbxo15,ortholog_one2many
si:ch211-202h22.8,,ortholog_many2many
si:ch211-202h22.8,litafd,ortholog_many2many
tubgcp2,tubgcp2,ortholog_one2one
senp7b,senp7,ortholog_one2many
si:dkey-258f14.7,glp2r,ortholog_many2many
kif15,kif15,ortholog_one2one
snap25b,snap25,ortholog_one2many
per1a,per1,ortholog_one2many
sema3fb,sema3f,ortholog_one2many
lpin1,lpin1,ortholog_one2many
trarg1a,trarg1,ortholog_one2many
rnf207a,rnf207,ortholog_one2many
slc45a3,slc45a3,ortholog_one2one
eepd1,eepd1,ortholog_one2one
ikzf4,ikzf4,ortholog_one2one
spata5l1,spata5l1,ortholog_one2one
sf3a2,sf3a2,ortholog_one2one
GMEB2,gmeb2,ortholog_one2one
si:ch211-226h7.3,,ortholog_one2many
dglucy,dglucy,ortholog_one2one
thap7,thap7,ortholog_one2one
tapbp.2,tapbp,ortholog_one2many
camkvb,camkv,ortholog_one2many
gata2a,gata2,ortholog_one2one
aagab,aagab,ortholog_one2one
zgc:85777,mgc147631,ortholog_one2one
hoxb9a,hoxb9,ortholog_one2one
gabrb2a,gabrb2,ortholog_one2many
wu:fe05a04,znf554,ortholog_one2many
wu:fe05a04,,ortholog_one2many
acsbg1,acsbg1,ortholog_one2one
slc2a15a,slc2a9,ortholog_one2many
foxq1a,FOXQ1,ortholog_one2many
abl2,abl2,ortholog_one2one
gss,gss,ortholog_one2one
pear1,gja7,ortholog_one2one
ssuh2.3,XB5956430 [provisional:ssuh2],ortholog_many2many
ssuh2.3,,ortholog_many2many
ppp3r1b,ppp3r1,ortholog_one2many
tmem39a,tmem39a,ortholog_one2one
si:ch211-150d5.3,mgc89178,ortholog_one2many
znf1104,,ortholog_many2many
znf1104,znf184,ortholog_many2many
olfml2ba,olfml2b,ortholog_one2many
trappc13,trappc13,ortholog_one2one
mdkb,mdk,ortholog_one2many
prkcha,prkch,ortholog_one2many
fat1b,fat1,ortholog_one2many
reep3a,reep3,ortholog_one2many
sox13,sox13,ortholog_one2one
gria3b,gria3,ortholog_one2many
nostrin,nostrin,ortholog_one2one
pik3r4,pik3r4,ortholog_one2one
matk,matk,ortholog_one2one
zgc:92590,,ortholog_many2many
zgc:92590,prss1.2,ortholog_many2many
zgc:92590,klk15,ortholog_many2many
neurod1,neurod1,ortholog_one2one
upf3b,upf3b,ortholog_one2one
spag6,spag6,ortholog_one2one
kirrel1a,kirrel1,ortholog_one2many
hydin,hydin,ortholog_one2one
calcr,calcr,ortholog_one2one
evx2,evx2,ortholog_one2one
si:zfos-2070c2.1,hla-dqa1,ortholog_one2many
cerkl,cerkl,ortholog_one2one
rpgrip1,rpgrip1,ortholog_one2one
foxc1a,foxc1,ortholog_one2many
ncalda,ncald,ortholog_one2one
wwp1,wwp1,ortholog_one2one
rps23,rps23,ortholog_one2one
srsf11,srsf11,ortholog_one2one
myef2,myef2,ortholog_one2one
stoml3b,stoml3,ortholog_one2many
gdi2,gdi2,ortholog_one2one
pkn1a,pkn1,ortholog_one2many
pde4d,pde4d,ortholog_one2one
vps50,vps50,ortholog_one2many
slc41a2b,slc41a2,ortholog_one2many
