Gene name,Chicken gene name,Chicken homology type
fam167ab,,ortholog_one2many
smdt1a,SMDT1,ortholog_one2many
sema6bb,SEMA6B,ortholog_one2many
pdpk1b,PDPK1,ortholog_one2many
si:dkey-84j12.1,TMEM8B,ortholog_one2many
prkar1ab,PRKAR1A,ortholog_one2one
p4hb,,ortholog_one2many
p4hb,P4HB,ortholog_one2many
gnai2a,GNAI2,ortholog_one2many
bahd1,BAHD1,ortholog_one2many
lrrc10,LRRC10,ortholog_one2one
sh3tc2,SH3TC2,ortholog_one2one
si:dkey-26g8.5,CTSV,ortholog_one2many
hsd17b12b,HSD17B12,ortholog_one2many
cd79b,CD79B,ortholog_one2one
nfe2l2a,NFE2L2,ortholog_one2one
masp2,MASP2,ortholog_one2one
FAM83G,FAM83G,ortholog_one2many
cdipt,,ortholog_one2one
mrpl53,MRPL53,ortholog_one2one
bves,BVES,ortholog_one2one
si:ch211-23l10.3,MPRIP,ortholog_one2many
traf2a,TRAF2,ortholog_one2many
slc22a15,,ortholog_one2one
SLC5A10,SLC5A10,ortholog_one2one
fpr1,,ortholog_one2one
slc5a2,,ortholog_one2one
slc26a6l,SLC26A6,ortholog_one2many
aak1a,AAK1,ortholog_one2many
slc39a13,SLC39A13,ortholog_one2one
pip5k1ab,PIP5K1A,ortholog_one2one
eif4ebp2,EIF4EBP2,ortholog_one2many
cpda,CPD,ortholog_one2many
osbp,OSBP,ortholog_one2one
uox,,ortholog_one2one
ric8a,RIC8A,ortholog_one2one
rac1a,RAC1,ortholog_one2many
rnf220a,,ortholog_one2many
rnf220a,RNF220,ortholog_one2many
jupa,JUP,ortholog_one2many
rpf1,RPF1,ortholog_one2one
fam3c,FAM3C,ortholog_one2one
cyp26a1,CYP26A1,ortholog_one2one
ska3,SKA3,ortholog_one2one
zgc:174855,CTSV,ortholog_one2many
hm13,HM13,ortholog_one2one
hbl2,MBL2,ortholog_one2many
sort1b,SORT1,ortholog_one2many
e2f8,E2F8,ortholog_one2one
lamb2,LAMB2,ortholog_one2many
lamb2,,ortholog_one2many
esrrga,ESRRG,ortholog_one2many
kif11,KIF11,ortholog_one2one
plch2b,PLCH2,ortholog_one2many
inka1a,,ortholog_one2many
pycr1b,PYCR1,ortholog_one2many
otx2b,OTX2,ortholog_one2one
nkx2.4a,NKX2-4,ortholog_one2many
ddhd1b,DDHD1,ortholog_one2many
gyg2,GYG2,ortholog_one2one
pisd,PISD,ortholog_one2one
timm13,TIMM13,ortholog_one2one
chst7,CHST7,ortholog_one2one
C2H5orf22,C2H5ORF22,ortholog_one2one
gfra2a,GFRA2,ortholog_one2many
samsn1b,SAMSN1,ortholog_one2many
rell2,RELL2,ortholog_one2one
cables2a,CABLES2,ortholog_one2many
tgfbi,TGFBI,ortholog_one2one
UNC5C,UNC5C,ortholog_one2many
slc25a36a,SLC25A36,ortholog_one2many
kbtbd11,KBTBD11,ortholog_one2one
ndufs4,NDUFS4,ortholog_one2one
dnah12,DNAH12,ortholog_one2one
IPO13,IPO13,ortholog_one2many
rhbdd2,,ortholog_many2many
myo10,,ortholog_one2many
myo10,MYO10,ortholog_one2many
cyp19a1a,CYP19A1,ortholog_one2one
cd99,,ortholog_one2many
cd99,CD99,ortholog_one2many
h1-10,H1-10,ortholog_one2one
cyb5r2,CYB5R2,ortholog_one2one
zgc:174153,CTSV,ortholog_one2many
fhdc3,FHDC1,ortholog_one2many
arpc4,ARPC4,ortholog_one2many
cnot2,CNOT2,ortholog_one2one
srsf5b,SRSF5,ortholog_one2one
nfkbiz,NFKBIZ,ortholog_one2one
sccpdha.2,SCCPDH,ortholog_one2many
samd13,THAP10,ortholog_one2one
cdc42l,CDC42,ortholog_one2many
gas2b,,ortholog_one2many
lum,LUM,ortholog_one2one
elovl4b,ELOVL4,ortholog_one2many
ccdc93,CCDC93,ortholog_one2one
birc5a,BIRC5,ortholog_one2one
si:ch211-212c13.10,OVST,ortholog_many2many
si:ch211-212c13.10,,ortholog_many2many
dnm1b,DNM1,ortholog_one2many
pdca,PDC,ortholog_one2many
unc119a,UNC119,ortholog_one2many
gna15.1,GNAT3,ortholog_many2many
gna15.1,GNA11,ortholog_many2many
si:ch211-150g13.3,,ortholog_one2many
p4htm,P4HTM,ortholog_one2one
metrnlb,METRNL,ortholog_one2many
ccm2,CCM2,ortholog_one2one
gle1,GLE1,ortholog_one2one
si:dkey-121a11.3,KIAA1614,ortholog_one2many
vtg6,VTG2,ortholog_many2many
vtg6,VTG3,ortholog_many2many
HACD4,HACD4,ortholog_one2one
kif26ab,KIF26A,ortholog_one2many
si:ch211-220f16.2,,ortholog_one2one
ap4e1,AP4E1,ortholog_one2one
arfip2b,ARFIP2,ortholog_one2many
asmtl,ASMTL,ortholog_one2one
aff2,AFF2,ortholog_one2one
atp5f1b,ATP5B,ortholog_one2one
pabpn1,,ortholog_one2one
kcnf1a,KCNF1,ortholog_one2many
ncf1,NCF1C,ortholog_one2one
hnrnpa0b,HNRNPA3,ortholog_one2many
phf21ab,PHF21A,ortholog_one2many
psmd6,PSMD6,ortholog_one2one
mindy3,MINDY3,ortholog_one2one
fabp11a,FABP9,ortholog_many2many
fabp11a,FABP5,ortholog_many2many
cdab,CDA,ortholog_one2many
pfkpa,PFKP,ortholog_one2many
pkp3a,PKP3,ortholog_one2many
kmt2cb,KMT2C,ortholog_one2many
dus2,DUS2,ortholog_one2one
SRBD1,SRBD1,ortholog_one2many
zgc:153441,DHRSX,ortholog_one2many
kpnb1,KPNB1,ortholog_one2one
tmeff2a,TMEFF2,ortholog_one2many
gnptg,GNPTG,ortholog_one2one
fam222a,FAM222A,ortholog_one2many
snrnp200,SNRNP200,ortholog_one2one
sema3e,SEMA3E,ortholog_one2one
aqp12,AQP12A,ortholog_one2one
spred2a,SPRED2,ortholog_one2many
rock2bl,ROCK2,ortholog_one2many
itga1,ITGA1,ortholog_one2one
eef2a.2,EIF5B,ortholog_many2many
nudt14,NUDT14,ortholog_one2one
il17ra1a,IL17RC,ortholog_many2many
bbx,BBX,ortholog_one2one
nkain4,NKAIN4,ortholog_one2many
exd3,EXD3,ortholog_one2one
mafgb,MAFG,ortholog_one2one
rcc1l,RCC1L,ortholog_one2one
lrfn2b,LRFN2,ortholog_one2many
zfand1,ZFAND1,ortholog_one2one
cplx2l,CPLX1,ortholog_one2many
gdpd5a,GDPD5,ortholog_one2many
syt1b,SYT1,ortholog_one2many
pde4ba,PDE4B,ortholog_one2many
hyal1,HYAL1,ortholog_one2one
,C16orf72,ortholog_one2many
tsr3,TSR3,ortholog_one2one
trip4,TRIP4,ortholog_one2one
scube2,SCUBE2,ortholog_one2one
slc35d2,SLC35D2,ortholog_one2one
WDR31,WDR31,ortholog_one2one
hccsb,HCCS,ortholog_one2many
xkr7,XKR7,ortholog_one2many
cyp2k21,CYP2AC7,ortholog_one2many
rims1a,RIMS1,ortholog_one2one
cxcl14,CXCL14,ortholog_one2one
tmem50a,TMEM50A,ortholog_one2one
vtg4,VTG2,ortholog_many2many
vtg4,VTG3,ortholog_many2many
tnfaip2b,TNFAIP2,ortholog_one2many
dkk1a,,ortholog_one2many
fancd2,FANCD2,ortholog_one2one
fhit,FHIT,ortholog_one2one
gtf3c5,GTF3C5,ortholog_one2one
stx8,STX8,ortholog_one2one
eno2,ENO2,ortholog_one2one
lysmd4,LYSMD4,ortholog_one2one
fam8a1a,FAM8A1,ortholog_one2many
ngfa,NGF,ortholog_one2many
zgc:162472,,ortholog_one2many
fam234b,FAM234B,ortholog_one2one
gabrg1,GABRG1,ortholog_one2one
lnpk,LNPK,ortholog_one2many
gabrr1,GABRR1,ortholog_one2many
tmem222b,TMEM222,ortholog_one2many
sipa1l2,SIPA1L2,ortholog_one2one
kdm2aa,KDM2A,ortholog_one2many
rock2b,ROCK2,ortholog_one2many
iqcd,IQCD,ortholog_one2one
larp4ab,LARP4,ortholog_one2many
nid1a,NID1,ortholog_one2many
dolk,DOLK,ortholog_one2one
ankrd16,ANKRD16,ortholog_one2one
pnpla8,PNPLA8,ortholog_one2one
rasa1a,,ortholog_many2many
fscn2b,FSCN2,ortholog_one2many
dynlt1,DYNLT1,ortholog_one2one
apobec2a,APOBEC2,ortholog_one2many
slc2a11b,SLC2A11L5,ortholog_one2one
nr4a2a,NR4A2,ortholog_one2one
ptgs2a,PTGS2,ortholog_one2many
odf2b,ODF2,ortholog_one2many
si:dkey-147f3.4,FBXO44,ortholog_one2many
si:dkey-65b13.9,ROCK2,ortholog_one2many
naxe,NAXE,ortholog_one2one
si:dkeyp-81f3.4,AKAP14,ortholog_one2one
tmem230a,TMEM230,ortholog_one2many
myo5b,,ortholog_many2many
myo6b,MYO6,ortholog_one2many
gsta.2,,ortholog_many2many
gsta.2,GSTA3,ortholog_many2many
abcc13,ABCC6,ortholog_one2many
ctdspla,CTDSPL,ortholog_one2many
si:ch211-204d2.4,PLEKHA2,ortholog_one2one
mycb,MYC,ortholog_one2many
mmp15a,MMP15,ortholog_one2many
ypel2b,YPEL2,ortholog_one2one
trim35-10,,ortholog_one2many
cdk19,CDK19,ortholog_one2one
fsta,FST,ortholog_one2many
pik3r1,PIK3R1,ortholog_one2one
fam20a,FAM20A,ortholog_one2many
tal1,TAL1,ortholog_one2one
hyal2a,HYAL2,ortholog_one2many
rbms2b,RBMS2,ortholog_one2many
sharpin,SHARPIN,ortholog_many2many
pnp6,,ortholog_one2one
atxn7,ATXN7,ortholog_one2one
c1qtnf5,C1QTNF5,ortholog_one2one
sh3kbp1,SH3KBP1,ortholog_one2one
mtus2a,,ortholog_one2many
sept2,SEPTIN2,ortholog_one2one
ssx2ipb,SSX2IP,ortholog_one2many
hnrnpa0l,HNRNPA3,ortholog_one2many
tusc2a,TUSC2,ortholog_one2many
map3k19,MAP3K19,ortholog_one2one
grapb,GRAPL,ortholog_one2many
cpo,CPO,ortholog_one2one
nrg2a,NRG2,ortholog_one2many
vac14,VAC14,ortholog_one2one
ptgesl,PTGES2,ortholog_one2one
chst14,CHST14,ortholog_one2one
tefb,TEF,ortholog_one2many
cwc22,CWC22,ortholog_one2one
dcn,DCN,ortholog_one2one
slc24a5,SLC24A5,ortholog_one2one
xkr6b,XKR6,ortholog_one2many
vtg5,VTG2,ortholog_many2many
vtg5,VTG3,ortholog_many2many
ccnh,CCNH,ortholog_one2one
il22ra2,IFNAR2,ortholog_many2many
il22ra2,IFNGR1,ortholog_many2many
il22ra2,IL22RA1,ortholog_many2many
il22ra2,IL10RA,ortholog_many2many
ccnt2a,CCNT2,ortholog_one2many
flt1,FLT1,ortholog_one2one
phyhipla,PHYHIPL,ortholog_one2many
fbxo18,FBXO18,ortholog_one2one
spata17,SPATA17,ortholog_one2one
si:dkey-1c7.1,,ortholog_many2many
si:dkey-1c7.1,PIGR,ortholog_many2many
bsnd,BSND,ortholog_one2one
dmd,DMD,ortholog_one2one
cryabb,CRYAB,ortholog_one2many
thoc2,THOC2,ortholog_one2one
zmp:0000000729,MBL2,ortholog_one2many
mapre1a,MAPRE1,ortholog_one2many
pomgnt1,POMGNT1,ortholog_one2one
pald1b,PALD1,ortholog_one2many
cep85,CEP85,ortholog_one2one
soga3b,SOGA3,ortholog_one2many
ttc17,TTC17,ortholog_one2one
usp8,USP8,ortholog_one2one
adamtsl2,ADAMTSL2,ortholog_one2one
smg5,SMG5,ortholog_one2one
foxa2,FOXA2,ortholog_one2one
fam149a,FAM149A,ortholog_one2one
calml4b,CALML4,ortholog_one2many
hspb2,HSPB2,ortholog_one2one
ndel1a,NDEL1,ortholog_one2many
mmp15a,,ortholog_many2many
psmd4b,PSMD4,ortholog_one2many
si:ch211-160j14.2,CYSTM1,ortholog_one2many
pomca,POMC,ortholog_one2many
uhmk1,UHMK1,ortholog_one2one
puraa,PURA,ortholog_one2many
abl1,ABL1,ortholog_one2one
p2ry8,P2RY8,ortholog_one2one
hacl1,HACL1,ortholog_one2one
plekhm1,PLEKHM1,ortholog_one2many
plekhm1,,ortholog_one2many
thoc7,THOC7,ortholog_one2one
nudt3b,NUDT3,ortholog_one2many
kitb,KIT,ortholog_one2many
ppm1f,PPM1F,ortholog_one2one
rps3a,RPS3A,ortholog_one2one
slc16a12b,SLC16A12,ortholog_one2many
cyp4v7,CYP4V2,ortholog_one2many
dennd6aa,DENND6A,ortholog_one2one
ppp2r5eb,PPP2R5E,ortholog_one2many
sept6,SEPTIN6,ortholog_one2one
rsph14,RSPH14,ortholog_one2one
cdc6,CDC6,ortholog_one2one
glt8d2,GLT8D2,ortholog_one2one
pak2b,PAK2,ortholog_one2many
cdh6,CDH6,ortholog_one2one
prdm4,PRDM4,ortholog_one2one
smarcb1b,SMARCB1,ortholog_one2many
zgc:112001,ANKRD9L,ortholog_one2one
ezh1,EZH1,ortholog_one2one
slc30a9,SLC30A9,ortholog_one2one
atp6v1h,ATP6V1H,ortholog_one2one
si:dkey-9l20.3,UMOD,ortholog_one2one
pigk,PIGK,ortholog_one2one
rnf113a,RNF113B,ortholog_one2one
trpv4,TRPV4,ortholog_one2one
hjv,HJV,ortholog_one2one
dok2,DOK2,ortholog_one2many
rpl18a,RPL18A,ortholog_one2one
adarb1a,ADARB1,ortholog_one2many
kif13a,KIF13A,ortholog_one2one
fam117ba,FAM117B,ortholog_one2many
ccm2l,CCM2L,ortholog_one2one
gsta.1,,ortholog_many2many
gsta.1,GSTA3,ortholog_many2many
pfdn5,PFDN5,ortholog_one2one
hsp90b1,HSP90B1,ortholog_one2one
slc15a4,SLC15A4,ortholog_one2one
si:dkeyp-84f3.5,ZBTB45,ortholog_one2one
zgc:163080,TMEM14A,ortholog_one2one
trafd1,TRAFD1,ortholog_one2one
gtse1,GTSE1,ortholog_one2one
bmpr2a,BMPR2,ortholog_one2many
cdk5rap2,CDK5RAP2,ortholog_one2one
ogdhb,OGDH,ortholog_one2one
farp2,FARP2,ortholog_one2one
sting1,TMEM173,ortholog_one2one
cfl2,CFL2,ortholog_one2one
itga8,ITGA8,ortholog_one2one
col8a2,COL8A2,ortholog_one2one
strada,STRADA,ortholog_one2one
pla2g4aa,PLA2G4A,ortholog_one2many
tbkbp1,TBKBP1,ortholog_one2one
rassf7a,RASSF7,ortholog_one2many
dffa,DFFA,ortholog_one2one
pdzk1,PDZK1,ortholog_one2one
shha,SHH,ortholog_one2many
hps3,HPS3,ortholog_one2one
elf3,ELF3,ortholog_one2one
tgm2b,TGM2,ortholog_one2many
rec8a,,ortholog_one2many
tlcd4a,TLCD4,ortholog_one2many
adrb2a,ADRB2,ortholog_one2many
vtg1,VTG2,ortholog_many2many
vtg1,VTG3,ortholog_many2many
acer3,ACER3,ortholog_one2one
micu2,MICU2,ortholog_one2one
cacna1hb,CACNA1H,ortholog_one2one
map1sb,MAP1S,ortholog_one2many
otx1,OTX1,ortholog_one2one
lrp1aa,LRP1,ortholog_one2many
si:dkey-48p11.3,,ortholog_one2one
foxo4,FOXO4,ortholog_one2one
pan3,PAN3,ortholog_one2one
il12a,IL12A,ortholog_one2many
chdh,CHDH,ortholog_one2one
ddx51,DDX51,ortholog_one2one
fgfr1op,FGFR1OP,ortholog_one2one
ints3,INTS3,ortholog_one2one
ahi1,AHI1,ortholog_one2one
upf3a,UPF3A,ortholog_one2one
myh9b,MYH9,ortholog_one2many
cables2b,CABLES2,ortholog_one2many
serpinh1a,SERPINH1,ortholog_one2many
bag4,BAG4,ortholog_one2one
rdh5,RDH5,ortholog_one2one
setd1ba,SETD1A,ortholog_one2one
tbx21,TBX21,ortholog_many2many
cdc42ep4b,CDC42EP4,ortholog_one2many
ccdc186,CCDC186,ortholog_one2one
gng5,GNG5,ortholog_one2one
VSTM2B,VSTM2B,ortholog_one2one
tpcn1,CATSPER4,ortholog_one2one
a2ml,OVST,ortholog_many2many
a2ml,,ortholog_many2many
zp3.2,,ortholog_many2many
zp3.2,ZP3,ortholog_many2many
cnn3a,CNN3,ortholog_one2many
rps10,RPS10,ortholog_one2one
kifc1,KIFC1,ortholog_one2one
exoc5,EXOC5,ortholog_one2one
alcama,ALCAM,ortholog_one2many
cyp2k17,CYP2AC7,ortholog_one2many
arhgap1,ARHGAP1,ortholog_one2one
commd3,COMMD3,ortholog_one2one
tapbpl,TAPBPL,ortholog_one2one
il12ba,IL12B,ortholog_one2many
rps24,RPS24,ortholog_one2one
atxn1a,ATXN1,ortholog_one2many
kdf1b,KDF1,ortholog_one2many
rnf146,RNF146,ortholog_one2one
akap8l,AKAP8L,ortholog_one2one
vat1l,VAT1L,ortholog_one2one
ntn1a,NTN1,ortholog_one2many
sars1,SARS1,ortholog_one2one
vtg7,VTG2,ortholog_many2many
vtg7,VTG3,ortholog_many2many
pdzk1ip1,PDZK1IP1,ortholog_one2one
scg2b,SCG2,ortholog_one2one
arl3l2,,ortholog_one2many
si:ch73-100l22.3,CCP110,ortholog_one2one
cdca4,CDCA4,ortholog_one2one
cep83,CEP83,ortholog_one2one
caln2,CALN1,ortholog_one2many
ano6,ANO6,ortholog_one2one
jag2b,JAG2,ortholog_many2many
prkd3,PRKD3,ortholog_one2one
bola3,BOLA3,ortholog_one2one
ap1s3b,AP1S3,ortholog_one2many
cblb,CBLB,ortholog_one2one
ids,IDS,ortholog_one2one
f2,F2,ortholog_one2one
hrh3,,ortholog_one2one
chrna7,CHRNA7,ortholog_one2many
amd1,AMD1,ortholog_one2one
uqcrfs1,UQCRFS1,ortholog_one2one
plekhg4,,ortholog_one2one
slc22a4,SLC22A5,ortholog_many2many
slc22a4,SLC22A4,ortholog_many2many
slc22a4,SLC22A3,ortholog_many2many
sspn,SSPN,ortholog_one2one
exd1,EXD1,ortholog_one2one
cdc42ep2,CDC42EP2,ortholog_one2one
znf367,ZNF367,ortholog_one2one
ZC3H12A,ZC3H12A,ortholog_one2many
mbd3a,MBD3,ortholog_one2one
galnt16,GALNT16,ortholog_one2one
rpap2,RPAP2,ortholog_one2one
SYNPR,SYP,ortholog_one2many
sdf2,SDF2,ortholog_one2one
nos1apa,,ortholog_one2one
lygl1,,ortholog_many2many
lygl1,LYG2,ortholog_many2many
rhbdf1b,RHBDF1,ortholog_one2many
dtd1,DTD1,ortholog_one2one
npy1r,NPY1R,ortholog_one2one
cdc14b,CDC14B,ortholog_one2one
abcb11b,ABCB11,ortholog_one2one
mon1a,MON1A,ortholog_one2one
myo1ea,MYO1E,ortholog_one2one
exoc1,EXOC1,ortholog_one2one
si:dkey-72l14.4,BORCS6,ortholog_one2one
lygl2,,ortholog_many2many
lygl2,LYG2,ortholog_many2many
osbpl2a,OSBPL2,ortholog_one2many
lsm1,LSM1,ortholog_one2one
tmem51b,TMEM51,ortholog_one2many
tars1,TARS,ortholog_one2one
creb1b,CREB1,ortholog_one2one
pcdh15a,PCDH15,ortholog_one2many
bhlhe41,BHLHE41,ortholog_one2one
baz1a,BAZ1A,ortholog_one2one
map3k21,MAP3K21,ortholog_one2one
tasor2,TASOR2,ortholog_one2one
trappc3,TRAPPC3,ortholog_one2one
zgc:162941,,ortholog_many2many
zgc:162941,LYG2,ortholog_many2many
gabrr3a,GABRR3,ortholog_one2many
mat2b,MAT2B,ortholog_one2one
traip,TRAIP,ortholog_one2one
pacsin1b,PACSIN1,ortholog_one2many
ldb3a,LDB3,ortholog_one2one
ano2b,,ortholog_many2many
pabpc4,PABPC4,ortholog_one2one
abcc5,ABCC5,ortholog_one2one
si:dkey-49n23.1,,ortholog_one2one
chmp7,CHMP7,ortholog_one2one
arhgef10lb,ARHGEF10L,ortholog_one2many
flad1,FLAD1,ortholog_one2one
rprd2a,RPRD2,ortholog_one2many
hepacam2,HEPACAM2,ortholog_one2one
pinx1,PINX1,ortholog_one2one
rbfox3b,RBFOX3,ortholog_one2many
st3gal5,ST3GAL5,ortholog_one2one
ifit12,IFIT5,ortholog_one2many
dsc2l,,ortholog_one2one
tdh,,ortholog_one2one
top3b,TOP3B,ortholog_one2one
usp7,USP7,ortholog_one2one
si:ch73-12o23.1,,ortholog_one2one
alg14,ALG14,ortholog_one2one
mymk,TMEM8C,ortholog_one2one
krit1,KRIT1,ortholog_one2one
pum3,PUM3,ortholog_one2one
qrfpra,QRFPR,ortholog_one2many
neo1a,NEO1,ortholog_one2many
C9H3orf70,C3orf70,ortholog_one2many
slc39a10,SLC39A10,ortholog_one2one
tcf15,TCF15,ortholog_one2one
btbd2a,BTBD2,ortholog_one2many
enc3,PEX11G,ortholog_one2one
rab25a,RAB25,ortholog_one2many
zgc:63972,CUTA,ortholog_one2one
pdcd7,PDCD7,ortholog_one2one
mir199-3a,gga-mir-199-2,ortholog_one2one
matn1,MATN1,ortholog_one2one
mettl13,METTL13,ortholog_one2one
apba2a,APBA2,ortholog_one2many
atoh8,ATOH8,ortholog_one2one
dnah7,DNAH7,ortholog_one2one
mlf2,MLF2,ortholog_one2one
med28,MED28,ortholog_one2one
slc41a2b,SLC41A2,ortholog_one2many
rbm33a,RBM33,ortholog_one2many
sptb,SPTB,ortholog_one2one
arhgef10la,ARHGEF10L,ortholog_one2many
mmaa,MMAA,ortholog_one2one
chek2,CHEK2,ortholog_one2one
ovch2,OVCH2,ortholog_one2one
znf142,ZNF142,ortholog_one2one
chfr,CHFR,ortholog_one2one
slc12a3,SLC12A3,ortholog_one2one
hmg20b,HMG20B,ortholog_one2one
ncoa4,NCOA4,ortholog_one2one
ubxn6,UBXN6,ortholog_one2one
lef1,LEF1,ortholog_one2one
tubgcp5,TUBGCP5,ortholog_one2one
stxbp6l,STXBP6,ortholog_one2many
dnajb1b,DNAJB1,ortholog_many2many
plcd4b,PLCD4,ortholog_one2many
tmem144a,TMEM144,ortholog_one2many
arpc5a,ARPC5,ortholog_one2many
mir214a,gga-mir-214,ortholog_one2one
acmsd,ACMSD,ortholog_one2one
gstt2,GSTT1,ortholog_many2many
pcnx1,PCNX1,ortholog_one2one
prlh2,,ortholog_one2one
hbbe2,HBE1,ortholog_many2many
hbbe2,HBBA,ortholog_many2many
sgcg,SGCG,ortholog_one2one
CU861903.1,,ortholog_one2many
plekhm2,PLEKHM2,ortholog_one2one
sb:cb37,OVST,ortholog_many2many
sb:cb37,,ortholog_many2many
mtap,MTAP,ortholog_one2one
yipf4,YIPF4,ortholog_one2one
cdc37l1,CDC37L1,ortholog_one2one
oscp1a,LSM10,ortholog_one2many
nfatc1,NFATC1,ortholog_one2one
blnk,SH2D6,ortholog_one2one
gne,GNE,ortholog_one2one
si:ch211-157c3.4,,ortholog_one2many
gltpa,GLTP,ortholog_one2one
timm23b,TIMM23B,ortholog_one2many
elp3,ELP3,ortholog_one2one
pex14,PEX14,ortholog_one2one
zp3b,,ortholog_many2many
zp3b,ZP3,ortholog_many2many
oscp1a,OSCP1,ortholog_one2many
SBK1,SBK1,ortholog_one2one
exoc6,EXOC6,ortholog_one2one
carmil1,CARMIL1,ortholog_one2one
ndufs2,NDUFS2,ortholog_one2one
kaznb,KAZN,ortholog_one2many
glt1d1,GLT1D1,ortholog_one2one
ccng1,CCNG1,ortholog_one2one
cyp2k16,CYP2AC7,ortholog_one2many
bmpr1ba,BMPR1B,ortholog_one2many
mtmr9,MTMR9,ortholog_one2one
patl1,PATL1,ortholog_one2one
plaua,PLAU,ortholog_one2one
gars1,GARS1,ortholog_one2one
psmd13,PSMD13,ortholog_one2one
rtraf,RTRAF,ortholog_one2one
fuca1.2,FUCA1,ortholog_one2many
stard15,,ortholog_one2one
si:dkey-21c19.3,SENP1,ortholog_one2one
lats2,LATS2,ortholog_one2one
anxa1a,ANXA1,ortholog_one2many
lrrc17,LRRC17,ortholog_one2one
aqp8a.2,AQP5,ortholog_many2many
aqp8a.2,AQP10,ortholog_many2many
sgpp1,WDR89,ortholog_one2many
chuk,CHUK,ortholog_one2one
cct3,CCT3,ortholog_one2one
dnajc16l,DNAJC16,ortholog_one2many
tulp1a,TULP1,ortholog_one2many
si:ch211-284e20.8,,ortholog_many2many
si:ch211-284e20.8,FETUB,ortholog_many2many
cmip,CMIP,ortholog_one2one
si:dkeyp-97b10.3,,ortholog_one2one
tbc1d23,TBC1D23,ortholog_one2one
meis1a,MEIS1,ortholog_one2many
hbbe3,HBE1,ortholog_many2many
hbbe3,HBBA,ortholog_many2many
efr3ba,EFR3B,ortholog_one2many
zgc:163057,HBA1,ortholog_one2one
arpc4l,ARPC4,ortholog_one2many
gmpr,GMPR2,ortholog_one2one
nop2,NOP2,ortholog_one2one
gldn,GLDN,ortholog_one2one
map3k7,MAP3K7,ortholog_one2one
ndrg4,NDRG4,ortholog_one2one
sox19b,SOX12,ortholog_many2many
aup1,AUP1,ortholog_one2one
osbpl7,OSBPL7,ortholog_one2one
dgkzb,DGKZ,ortholog_one2many
rhd,RHCE,ortholog_one2one
sccpdha.1,SCCPDH,ortholog_one2many
tada3l,TADA3,ortholog_one2one
zgc:152977,SUN1,ortholog_one2many
slc5a6b,SLC5A6,ortholog_one2many
si:dkey-1c7.2,,ortholog_many2many
si:dkey-1c7.2,PIGR,ortholog_many2many
ttc16,,ortholog_one2many
dcaf15,DCAF15,ortholog_one2one
gsdmea,DFNA5,ortholog_one2many
poldip3,POLDIP3,ortholog_one2one
vps50,VPS50,ortholog_one2many
prom1a,PROM1,ortholog_one2many
egln1b,EGLN1,ortholog_one2many
efhb,EFHB,ortholog_one2one
si:ch211-241b2.5,CD274,ortholog_one2many
si:ch211-241b2.5,PDCD1LG2,ortholog_one2many
zwilch,ZWILCH,ortholog_one2one
armc7,ARMC7,ortholog_one2one
fn1a,FN1,ortholog_one2many
ccr6a,CCR6,ortholog_one2many
pde4d,PDE4D,ortholog_one2one
gsr,GSR,ortholog_one2one
xirp1,XIRP1,ortholog_one2one
qdprb2,QDPR,ortholog_one2many
hmces,HMCES,ortholog_one2one
mtx2,MTX2,ortholog_one2one
pcare2,PCARE,ortholog_one2many
kbtbd13,KBTBD13,ortholog_one2one
spcs3,SPCS3,ortholog_one2one
ilrun,C6orf106,ortholog_one2one
si:dkey-30c15.12,CDH1,ortholog_one2many
si:dkey-30c15.12,CDH3,ortholog_one2many
wrnip1,WRNIP1,ortholog_one2one
mdh1ab,MDH1,ortholog_one2many
brca2,BRCA2,ortholog_one2one
lrrtm4l1,LRRTM4,ortholog_one2many
st6galnac5a,ST6GALNAC5,ortholog_one2many
wipf2a,WIPF2,ortholog_one2many
ube2e3,UBE2E3,ortholog_one2one
agtr2,AGTR2,ortholog_one2one
htra3a,HTRA3,ortholog_one2many
itgb7,ITGB7,ortholog_one2one
asb12a,ASB12,ortholog_one2many
rab7a,RAB7A,ortholog_one2many
atp1a1a.5,ATP1A1,ortholog_one2many
si:dkey-148a17.5,,ortholog_one2many
pomcb,POMC,ortholog_one2many
epha4a,EPHA4,ortholog_one2many
klf7b,KLF7,ortholog_one2many
sh3d19,SH3D19,ortholog_one2one
l3mbtl1b,L3MBTL4,ortholog_one2one
slc38a6,SLC38A6,ortholog_one2one
si:dkey-148a17.6,,ortholog_one2many
mxra8a,MXRA8,ortholog_one2many
rab3c,RAB3C,ortholog_one2one
wdpcp,WDPCP,ortholog_one2one
cxxc5a,CXXC5,ortholog_one2many
itga2.1,ITGA2,ortholog_one2many
far1,FAR1,ortholog_one2one
anks1ab,ANKS1A,ortholog_one2many
pkn1a,PKN3,ortholog_one2many
ap2m1b,AP2M1,ortholog_one2many
si:dkey-177p2.6,,ortholog_one2one
dpf2,DPF2,ortholog_one2many
gpr37l1a,GPR37L1,ortholog_one2many
ufc1,UFC1,ortholog_one2one
isl1,ISL1,ortholog_one2one
zgc:64106,,ortholog_one2one
pde12,PDE12,ortholog_one2one
vps36,VPS36,ortholog_one2one
car15,,ortholog_one2one
ypel5,YPEL5,ortholog_one2one
nrp2a,NRP2,ortholog_one2many
nrcama,NRCAM,ortholog_one2one
neurl1b,NEURL1B,ortholog_one2one
ctnnal1,CTNNAL1,ortholog_one2one
